id,processor_name
298,i3-2120T
299,i3-2125
300,i3-2130
301,i3-3210
302,i3-3220
303,i3-3220T
304,i3-3225
305,i3-3240
306,i3-3240T
307,i3-3245
308,i3-3250
309,i3-3250T
310,i3-4130
311,i3-4130T
312,i3-4150
313,i3-4150T
314,i3-4160
315,i3-4160T
316,i3-4170
317,i3-4170T
318,i3-4330
319,i3-4330T
320,i3-4340
321,i3-4350
322,i3-4350T
323,i3-4360
324,i3-4360T
325,i3-4370
326,i3-4370T
327,i3-6098P
328,i3-6100
329,i3-6100T
330,i3-6300
331,i3-6300T
332,i3-6320
333,i3-7100
334,i3-7100T
335,i3-7101E
336,i3-7101TE
337,i3-7300
338,i3-7300T
339,i3-7320
340,i3-7350K
341,i3-8100
342,i3-8100T
343,i3-8300
344,i3-8300T
345,i3-8350K
346,i3-9100
347,i3-9100F
348,i3-9100T
349,i3-9300
350,i3-9300T
351,i3-9320
352,i3-9350K
353,i3-9350KF
